Sr.no,Program,Semester,Section,Day,Class strating time,Class ending time,Course,Room,Course code
1,Bs-it,2nd,B,Monday,9:00,11:00,Dld,R7,
,Bs-it,2nd,B,Monday,12:30,2:00,Pf,Ssg-18,Cs114
,,,,,,,,,/cs114l
2,Bs-it,2nd,B,Tuesday,11:00,12:30,Pf,Ssg-18,Cs114
,,,,,,,,,/cs114l
,Bs-it,2nd,B,Tuesday,12:30,2:00,Fm-ii,R5,
,Bs-it,2nd,B,Tuesday,3:00,4:30,Mvc,Ssg-17,
3,Bs-it,2nd,B,Wednesday,9:00,11:00,Cn,R4,
,Bs-it,2nd,B,Wednesday,11:00,12:30,Ds,Ssg-11,
,Bs-it,2nd,B,Wednesday,3:00,4:30,Mvc,R8,
4,Bs-it,2nd,B,Thursday,9:00,12:30,Dld(lab),Digital system lab,
,Bs-it,2nd,B,Thursday,12:30,4:30,Cn(lab),Cisco,
5,Bs-it,2nd,B,Friday,9:00,11:00,Ds,R2,
,Bs-it,2nd,B,Friday,11:00,12:30,Fm-ii,R2,
,Bs-it,2nd,B,Friday,12:30,4:30,Pf(lab),Hbl-lab1,Cs114
,,,,,,,,,/cs114l
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Second semester time table of  it-section a,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sr.no,Program,Semester,Section,Day,Class strating time,Class ending time,Course,Room,Course code
1,Bs-it,Second,A,Monday,9:00,11:00,Pf,Ssg-55,Cs114
,,,,,,,,,/cs114l
,Bs-it,Second,A,Monday,12:30,4:30,Cn(lab),Hbl-lab1,
2,Bs-it,Second,A,Tuesday,11:00,12:30,Ds,Ssg-11,
,Bs-it,Second,A,Tuesday,12:30,4:30,Dld(lab),Digital system lab,
3,Bs-it,Second,A,Weednesday,9:00,11:00,Dld,Ssg-55,
,Bs-it,Second,A,Wednesday,11:00,12:30,Fm-ii,Ssg-55,
4,Bs-it,Second,A,Thursday,9:00,12:30,Pf(lab),Hbl-iii,Cs114
,,,,,,,,,/cs114l
,Bs-it,Second,A,Thursday,12:30,2:00,Pf,Ssg-17,Cs114
,,,,,,,,,/cs114l
,Bs-it,Second,A,Thursday,3:00,4:30,Mvc,Ssg-18,
5,Bs-it,Second,A,Friday,9:00,11:00,Cn,R1,
,Bs-it,Second,A,Friday,11:00,12:30,Ds,R1,
,Bs-it,Second,A,Friday,12:30,2:00,Fm_ii,R1,
,Bs-it,Second,A,Friday,3:00,4:30,Mvc,R1,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Fourth semester time table of it departnment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sr.no,Program,Semester,Day,Class strating time,Class ending time,Course,Room,Course code,
1,Bs-it,4th,Monday,9:00,11:00,Is,Cisco lab,It-321,
,Bs-it,4th,Monday,11:00,2:00,Os,Hbl-ii,Cs-341/l,
,Bs-it,4th,Monday,3:00,4:30,P&s,Ssg-11,Stat-101,
2,Bs-it,4th,Tuesday,9:00,11:00,Is,Hbl-iii,It-321,
,Bs-it,4th,Tuesday,11:00,12:30,Os,Ssg-13,Cs-341/l,
3,Bs-it,4th,Wednesday,9:00,11:00,Wt,R1,It-332/l,
,Bs-it,4th,Wednesday,11:00,12:30,P&s,R1,Stat-101,
,Bs-it,4th,Wednesday,12:30,2:00,Popsy,R6,,
4,Bs-it,4th,Thursday,9:00,11:00,Popsy,R8,,
,Bs-it,4th,Thursday,11:00,12:30,Os,Ssa-150,Cs-341/l,
,Bs-it,4th,Thursday,12:30,2:00,Wt,Hbl-i,It-332/l,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sixth semester time table of it departnment,,,,,,,,,
Sr.no,Program,Semester,Day,Class strating time,Class ending time,Course,Room,Course code,
1,Bs-it,6th,Monday,9:00,11:00,Vss,Fyp lab,It-303/l,
,Bs-it,6th,Monday,11:00,12:30,Itpm,R7,Mgmt-212,
2,Bs-it,6th,Tuesday,9:00,11:00,Itpm,R2,Mgmt-212,
,Bs-it,6th,Tuesday,11:00,12:30,Vss,Ssg-13,It-303/l,
,Bs-it,6th,Tuesday,12:30,2:00,Pm,Ssa-150,,
3,Bs-it,6th,Wednesday,9:00,11:00,Dw,R3,,
,Bs-it,6th,Wednesday,11:00,12:30,Sqe,R3,,
,Bs-it,6th,Wednesday,12:30,4:30,Vss(lab),Hbl-i,It-303/l,
4,Bs-it,6th,Thursday,9:00,11:00,Dw,R4,,
,Bs-it,6th,Thursday,11:00,12:30,Sqe,Ssg-15,,
,Bs-it,6th,Thursday,12:30,2:00,Pm,Hbl-iii,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Eight semester time table of it departnment,,,,,,,,,
Sr.no,Program,Semester,Day,Class strating time,Class ending time,Course,Room,Course code,
1,Bs-it,8th,Tuesday,9:00,11:00,Sm,R1,,
,Bs-it,8th,,11:00,12:30,Pp,R1,Hum-302,
,Bs-it,8th,,12:30,2:00,Ai,Ssg-18,,
2,Bs-it,8th,Thursday,9:00,11:00,Ai,Ssa-150,,
,Bs-it,8th,,11:00,12:30,Sm,R8,,
,Bs-it,8th,,12:30,2:00,Pp,Ssg-55,Hum-302,
,Bs-it,8th,,3:00,4:30,E&l,Ssg-56,,
3,Bs-it,8th,Friday,9:00,11:00,E&l,Ssg-55,,
,Bs-it,8th,Friday,11:00,2:00,Fyp-ii(lab),Fyp lab,,
,,,,,,,,,
